Rider,rank_start,point_start,win,podium,top_ten,points,race_days,win_dauphine,podium_dauphine,top_ten_dauphine,points_dauphine
BARDET Romain,55.0,703.0,1,3,15,566,40,0.0,1.0,4.0,153.0
CHEREL Mikael,317.0,195.0,0,0,5,151,47,0.0,0.0,0.0,18.0
GASTAUER Ben,787.0,67.0,0,1,3,94,38,0.0,0.0,0.0,5.0
KADRI Blel,431.0,140.0,0,0,0,5,22,0.0,0.0,0.0,5.0
MINARD Sébastien,495.0,121.0,0,0,1,121,41,0.0,0.0,0.0,5.0
PERAUD Jean-Christophe,72.0,586.0,2,5,13,640,44,0.0,0.0,0.0,5.0
RIBLON Christophe,96.0,491.0,0,0,0,44,28,0.0,0.0,0.0,0.0
FUGLSANG Jakob,47.0,753.0,0,1,7,390,41,0.0,0.0,1.0,70.0
GRIVKO Andriy,102.0,466.0,0,0,1,55,42,0.0,0.0,1.0,5.0
GRUZDEV Dmitriy,763.0,69.0,1,2,2,65,27,0.0,0.0,0.0,5.0
IGLINSKIY Maxim,146.0,390.0,0,1,5,63,36,0.0,0.0,0.0,0.0
KANGERT Tanel,67.0,620.0,0,0,5,127,37,0.0,0.0,1.0,32.0
NIBALI Vincenzo,1.0,2793.0,1,2,8,464,38,0.0,0.0,4.0,105.0
VANOTTI Alessandro,964.0,46.0,0,0,0,15,27,0.0,0.0,0.0,5.0
WESTRA Lieuwe,95.0,497.0,2,3,3,145,45,1.0,2.0,2.0,80.0
BOOM Lars,49.0,744.0,0,1,4,68,23,0.0,0.0,1.0,3.0
KRUIJSWIJK Steven,476.0,127.0,0,0,2,71,32,0.0,0.0,0.0,9.0
LEEZER Tom,272.0,232.0,0,0,1,30,28,0.0,0.0,0.0,5.0
MOLLEMA Bauke,13.0,1357.0,1,6,15,630,37,0.0,3.0,5.0,220.0
TANKINK Bram,521.0,116.0,0,0,3,121,36,0.0,0.0,1.0,6.0
TEN DAM Laurens,170.0,358.0,0,0,1,135,36,0.0,0.0,0.0,48.0
VANMARCKE Sep,97.0,491.0,1,3,7,616,33,0.0,0.0,0.0,5.0
WYNANTS Maarten,284.0,219.0,0,0,1,65,30,0.0,0.0,0.0,0.0
BURGHARDT Marcus,332.0,186.0,0,1,4,124,32,0.0,0.0,0.0,5.0
MOINARD Amaël,446.0,137.0,1,2,2,121,40,0.0,0.0,0.0,5.0
SCHÄR Michael,203.0,302.0,0,1,1,69,32,0.0,0.0,0.0,5.0
STETINA Peter,307.0,204.0,0,1,6,135,40,0.0,0.0,0.0,5.0
VAN AVERMAET Greg,15.0,1311.0,0,3,9,455,41,0.0,0.0,0.0,5.0
VAN GARDEREN Tejay,26.0,1043.0,1,4,9,479,30,0.0,0.0,2.0,51.0
VELITS Peter,137.0,397.0,1,2,8,208,39,0.0,0.0,1.0,10.0
BODNAR Maciej,480.0,126.0,1,2,6,119,33,0.0,0.0,1.0,7.0
DE MARCHI Alessandro,256.0,247.0,0,0,2,70,30,0.0,0.0,0.0,5.0
KOREN Kristjan,514.0,117.0,0,1,6,151,35,0.0,0.0,0.0,5.0
MARCATO Marco,187.0,327.0,0,0,8,109,34,0.0,0.0,1.0,5.0
MARINO Jean-Marc,1134.0,33.0,0,0,1,29,37,0.0,0.0,0.0,5.0
SABATINI Fabio,598.0,98.0,0,0,2,10,27,0.0,0.0,0.0,5.0
SAGAN Peter,3.0,2673.0,7,18,30,990,50,1.0,3.0,6.0,114.0
BONNET William,925.0,50.0,0,0,0,37,34,0.0,0.0,0.0,0.0
DELAGE Mickaël,359.0,167.0,0,0,2,46,33,0.0,0.0,0.0,5.0
DEMARE Arnaud,25.0,1056.0,9,14,24,961,51,0.0,0.0,1.0,1.0
JEANNESSON Arnold,215.0,289.0,0,0,2,126,44,0.0,0.0,0.0,23.0
LADAGNOUS Matthieu,91.0,512.0,0,0,0,52,25,0.0,0.0,0.0,5.0
PINEAU Cédric,662.0,86.0,0,1,1,72,45,0.0,0.0,0.0,5.0
PINOT Thibaut,61.0,682.0,0,1,10,307,40,0.0,0.0,2.0,39.0
