Date,Race,Rank,Rider,CQ
14/10/2014,Tour of Beijing,72.,APPOLLONIO Davide,5
14/10/2014,"Tour of Beijing, Stage 5 : Tiananmen Square - Bird’s Nest",7.,APPOLLONIO Davide,2
13/10/2014,"Tour of Beijing, Stage 4 : Yanqing - Mentougou Miaofeng",101.,APPOLLONIO Davide,0
12/10/2014,"Tour of Beijing, Stage 3 : Yanqing - Qianjiadian",9.,APPOLLONIO Davide,0
11/10/2014,"Tour of Beijing, Stage 2 : Chong Li - Yan Jia Ping",60.,APPOLLONIO Davide,0
10/10/2014,"Tour of Beijing, Stage 1 : Chong Li - Zhangjiakou",9.,APPOLLONIO Davide,0
7/09/2014,GP de Fourmies,11.,APPOLLONIO Davide,22
6/09/2014,Brussels Cycling Classic,136.,APPOLLONIO Davide,0
31/08/2014,GP Ouest France - Plouay,117.,APPOLLONIO Davide,5
24/08/2014,Vattenfall Cyclassics - Hamburg,11.,APPOLLONIO Davide,40
17/08/2014,Eneco Tour,88.,APPOLLONIO Davide,5
17/08/2014,"Eneco Tour, Stage 7 : Riemst (Bel) - Sittard",85.,APPOLLONIO Davide,0
16/08/2014,"Eneco Tour, Stage 6 : Heerlen (Ned) - La Redoute",120.,APPOLLONIO Davide,0
15/08/2014,"Eneco Tour, Stage 5 : Geraardsbergen - Geraardsbergen",124.,APPOLLONIO Davide,0
14/08/2014,"Eneco Tour, Stage 4 : Koksijde - Ardooie",12.,APPOLLONIO Davide,0
13/08/2014,"Eneco Tour, Stage 3 : Breda - Breda I.T.T.",42.,APPOLLONIO Davide,0
12/08/2014,"Eneco Tour, Stage 2 : Waalwijk - Vlijmen",7.,APPOLLONIO Davide,2
11/08/2014,"Eneco Tour, Stage 1 : Terneuzen - Terneuzen",86.,APPOLLONIO Davide,0
9/08/2014,Tour de Pologne,126.,APPOLLONIO Davide,5
9/08/2014,"Tour de Pologne, Stage 7 : Krakow - Krakow I.T.T.",120.,APPOLLONIO Davide,0
8/08/2014,"Tour de Pologne, Stage 6 : Bukowina Tatrzanska - Bukowina Tatrzanska",73.,APPOLLONIO Davide,0
7/08/2014,"Tour de Pologne, Stage 5 : Zakopane - Strbskie Pleso (Svk)",155.,APPOLLONIO Davide,0
6/08/2014,"Tour de Pologne, Stage 4 : Tarnow - Katowice",6.,APPOLLONIO Davide,3
5/08/2014,"Tour de Pologne, Stage 3 : Kielce - Rzeszow",9.,APPOLLONIO Davide,0
4/08/2014,"Tour de Pologne, Stage 2 : Torun - Warszawa",111.,APPOLLONIO Davide,0
3/08/2014,"Tour de Pologne, Stage 1 : Gdansk - Bydgoszcz",143.,APPOLLONIO Davide,0
22/06/2014,"Tour de Suisse, Stage 9 : Martigny - Saas-Fee",DNF,APPOLLONIO Davide,0
21/06/2014,"Tour de Suisse, Stage 8 : Delémont - Verbier",130.,APPOLLONIO Davide,0
20/06/2014,"Tour de Suisse, Stage 7 : Worb - Worb I.T.T.",135.,APPOLLONIO Davide,0
19/06/2014,"Tour de Suisse, Stage 6 : Buren an der Aare - Delémont",119.,APPOLLONIO Davide,0
18/06/2014,"Tour de Suisse, Stage 5 : Ossingen - Buren an der Aare",11.,APPOLLONIO Davide,0
17/06/2014,"Tour de Suisse, Stage 4 : Heiden - Ossingen",8.,APPOLLONIO Davide,1
16/06/2014,"Tour de Suisse, Stage 3 : Sarnen - Heiden",123.,APPOLLONIO Davide,0
15/06/2014,"Tour de Suisse, Stage 2 : Bellinzona - Sarnen",121.,APPOLLONIO Davide,0
14/06/2014,"Tour de Suisse, Stage 1 : Bellinzona - Bellinzona I.T.T.",105.,APPOLLONIO Davide,0
12/06/2014,GP Kanton Aargau - Gippingen,63.,APPOLLONIO Davide,0
21/05/2014,"Giro d'Italia, Stage 11 : Collecchio - Savona",OOT,APPOLLONIO Davide,0
20/05/2014,"Giro d'Italia, Stage 10 : Modena - Salsomaggiore Terme",106.,APPOLLONIO Davide,0
18/05/2014,"Giro d'Italia, Stage 9 : Lugo - Sestola",177.,APPOLLONIO Davide,0
17/05/2014,"Giro d'Italia, Stage 8 : Foligno - Montecopiolo",183.,APPOLLONIO Davide,0
16/05/2014,"Giro d'Italia, Stage 7 : Frosinone - Foligno",13.,APPOLLONIO Davide,0
15/05/2014,"Giro d'Italia, Stage 6 : Sassano - Montecassino",104.,APPOLLONIO Davide,0
14/05/2014,"Giro d'Italia, Stage 5 : Taranto - Viggiano",187.,APPOLLONIO Davide,0
13/05/2014,"Giro d'Italia, Stage 4 : Giovinazzo - Bari",46.,APPOLLONIO Davide,0
11/05/2014,"Giro d'Italia, Stage 3 : Armagh (Gbr) - Dublin (Irl)",4.,APPOLLONIO Davide,15
10/05/2014,"Giro d'Italia, Stage 2 : Belfast (Gbr) - Belfast (Gbr)",9.,APPOLLONIO Davide,2
9/05/2014,"Giro d'Italia, Stage 1 : Belfast (Gbr) T.T.T.",10.,APPOLLONIO Davide,0
4/05/2014,Tour de Romandie,95.,APPOLLONIO Davide,5
4/05/2014,"Tour de Romandie, Stage 5 : Neuchâtel - Neuchâtel I.T.T.",118.,APPOLLONIO Davide,0
3/05/2014,"Tour de Romandie, Stage 4 : Fribourg - Fribourg",4.,APPOLLONIO Davide,8
2/05/2014,"Tour de Romandie, Stage 3 : Le Bouveret - Aigle",119.,APPOLLONIO Davide,0
1/05/2014,"Tour de Romandie, Stage 2 : Sion - Montreux",115.,APPOLLONIO Davide,0
30/04/2014,"Tour de Romandie, Stage 1 : Brigerbad - Sion",62.,APPOLLONIO Davide,0
29/04/2014,"Tour de Romandie, Prologue : Ascona I.T.T.",138.,APPOLLONIO Davide,0
9/04/2014,Scheldeprijs,6.,APPOLLONIO Davide,48
6/04/2014,Ronde van Vlaanderen,DNF,APPOLLONIO Davide,0
30/03/2014,Gent - Wevelgem,140.,APPOLLONIO Davide,5
28/03/2014,E3 Prijs Vlaanderen - Harelbeke,DNF,APPOLLONIO Davide,0
26/03/2014,Dwars door Vlaanderen,79.,APPOLLONIO Davide,0
23/03/2014,Milano - Sanremo,28.,APPOLLONIO Davide,8
18/03/2014,Tirreno - Adriatico,124.,APPOLLONIO Davide,5
18/03/2014,"Tirreno - Adriatico, Stage 7 : San Benedetto del Tronto I.T.T.",156.,APPOLLONIO Davide,0
17/03/2014,"Tirreno - Adriatico, Stage 6 : Bucchianico - Porto Sant'Elpidio",10.,APPOLLONIO Davide,0
16/03/2014,"Tirreno - Adriatico, Stage 5 : Amatrice - Guardiagrele",145.,APPOLLONIO Davide,0
15/03/2014,"Tirreno - Adriatico, Stage 4 : Indicatore - Cittareale (Selva Rotonda)",146.,APPOLLONIO Davide,0
14/03/2014,"Tirreno - Adriatico, Stage 3 : Cascina - Arezzo",107.,APPOLLONIO Davide,0
13/03/2014,"Tirreno - Adriatico, Stage 2 : San Vincenzo - Cascina",6.,APPOLLONIO Davide,3
12/03/2014,"Tirreno - Adriatico, Stage 1 : Donoratico - San Vincenzo T.T.T.",13.,APPOLLONIO Davide,0
9/03/2014,Roma Maxima,2.,APPOLLONIO Davide,48
6/03/2014,GP Citta di Camaiore,70.,APPOLLONIO Davide,0
2/03/2014,GP di Lugano,99.,APPOLLONIO Davide,0
25/01/2014,"Tour de San Luis, Stage 6 : La Chacras - Mirador del Sol",DNF,APPOLLONIO Davide,0
22/01/2014,"Tour de San Luis, Stage 3 : Tilisarao - Juana Koslay",5.,APPOLLONIO Davide,0
9/10/2014,Paris - Bourges,26.,BAGDONAS Gediminas,0
7/10/2014,Binche - Chimay - Binche / Mémorial Frank Vandenbroucke,24.,BAGDONAS Gediminas,0
5/10/2014,Tour de Vendée,39.,BAGDONAS Gediminas,0
7/09/2014,GP de Fourmies,77.,BAGDONAS Gediminas,0
