team,Rider,Date of birth,rank_start,point_start,rank_end,point_end,Comments,Country
ALM,BAGDONAS Gediminas,26/12/1985,693.0,82.0,446.0,159.0,,LTU
ALM,BAKELANTS Jan,14/02/1986,127.0,417.0,31.0,973.0,,BEL
ALM,BARDET Romain,09/11/1990,25.0,1149.0,25.0,1071.0,,FRA
ALM,BERARD Julien,27/07/1987,482.0,132.0,721.0,80.0,,FRA
ALM,BETANCUR GOMEZ Carlos Alberto,13/10/1989,67.0,616.0,463.0,149.0,Contract until 20/08,COL
ALM,BIDARD François,19/03/1992,1541.0,17.0,1591.0,16.0,Trainee as from 1/08,FRA
ALM,BONNAFOND Guillaume,23/06/1987,794.0,67.0,993.0,45.0,,FRA
ALM,CAMPISTROUS Romain,16/07/1992,2654.0,3.0,1813.0,12.0,Trainee as from 1/08,FRA
ALM,CHEREL Mikael,17/03/1986,259.0,246.0,372.0,191.0,,FRA
ALM,DANIEL Maxime,05/06/1991,414.0,164.0,1095.0,38.0,,FRA
ALM,DENZ Nico,15/02/1994,,,1168.0,33.0,Contract from 1/08,GER
ALM,DOMONT Axel,07/08/1990,713.0,80.0,966.0,48.0,,FRA
ALM,DUMOULIN Samuel,20/08/1980,110.0,473.0,168.0,363.0,,FRA
ALM,DUPONT Hubert,13/11/1980,364.0,188.0,686.0,86.0,,FRA
ALM,GASTAUER Ben,14/11/1987,265.0,241.0,312.0,222.0,,LUX
ALM,GAUDIN Damien,20/08/1986,804.0,66.0,364.0,195.0,,FRA
ALM,GOUGEARD Alexis,05/03/1993,346.0,200.0,101.0,503.0,,FRA
ALM,GRETSCH Patrick,07/04/1987,930.0,51.0,739.0,76.0,,GER
ALM,HOULE Hugo,27/09/1990,679.0,85.0,532.0,125.0,,CAN
ALM,JAUREGUI Quentin,22/04/1994,637.0,95.0,516.0,131.0,,FRA
ALM,KADRI Blel,03/09/1986,520.0,120.0,1206.0,30.0,,FRA
ALM,LATOUR Pierre,12/10/1993,772.0,71.0,120.0,453.0,,FRA
ALM,MINARD Sébastien,12/06/1982,421.0,161.0,880.0,57.0,,FRA
ALM,MONDORY Lloyd,26/04/1982,314.0,214.0,1323.0,24.0,Contract until 31/08,FRA
ALM,MONTAGUTI Matteo,06/01/1984,283.0,231.0,202.0,325.0,,ITA
ALM,NOCENTINI Rinaldo,25/09/1977,191.0,310.0,422.0,167.0,,ITA
ALM,PERAUD Jean-Christophe,22/05/1977,16.0,1312.0,246.0,281.0,,FRA
ALM,PEREIRA Florent,19/10/1993,,,2968.0,2.0,Trainee as from 1/08,FRA
ALM,POZZOVIVO Domenico,30/11/1982,38.0,912.0,32.0,972.0,,ITA
ALM,RIBLON Christophe,17/01/1981,348.0,198.0,459.0,150.0,,FRA
ALM,TURGOT Sébastien,11/04/1984,309.0,216.0,461.0,150.0,,FRA
ALM,VANSUMMEREN Johan,04/02/1981,728.0,77.0,844.0,62.0,,BEL
ALM,VUILLERMOZ Alexis,01/06/1988,159.0,358.0,57.0,698.0,,FRA
AST,AGNOLI Valerio,06/01/1985,323.0,208.0,304.0,226.0,,ITA
AST,ARU Fabio,03/07/1990,28.0,1092.0,6.0,1756.0,,ITA
AST,AYAZBAYEV Maxat,27/01/1992,1089.0,38.0,2472.0,5.0,,KAZ
AST,BOOM Lars,30/12/1985,125.0,421.0,158.0,386.0,,NED
