Rider,tdf_top10
BARDET Romain,1
CHEREL Mikael,0
GASTAUER Ben,0
KADRI Blel,0
MINARD Sébastien,0
PERAUD Jean-Christophe,1
RIBLON Christophe,0
FUGLSANG Jakob,0
GRIVKO Andriy,0
GRUZDEV Dmitriy,0
IGLINSKIY Maxim,0
KANGERT Tanel,0
NIBALI Vincenzo,1
VANOTTI Alessandro,0
WESTRA Lieuwe,0
BOOM Lars,0
KRUIJSWIJK Steven,0
LEEZER Tom,0
MOLLEMA Bauke,1
TANKINK Bram,0
TEN DAM Laurens,1
VANMARCKE Sep,0
WYNANTS Maarten,0
BURGHARDT Marcus,0
MOINARD Amaël,0
SCHÄR Michael,0
STETINA Peter,0
VAN AVERMAET Greg,0
VAN GARDEREN Tejay,1
VELITS Peter,0
BODNAR Maciej,0
DE MARCHI Alessandro,0
KOREN Kristjan,0
MARCATO Marco,0
MARINO Jean-Marc,0
SABATINI Fabio,0
SAGAN Peter,0
BONNET William,0
DELAGE Mickaël,0
DEMARE Arnaud,0
JEANNESSON Arnold,0
LADAGNOUS Matthieu,0
PINEAU Cédric,0
PINOT Thibaut,1
ROY Jérémy,0
BAUER Jack,0
HOWES Alex,0
KING Benjamin,0
LANGEVELD Sebastian,0
NAVARDAUSKAS Ramunas,0
SLAGTER Tom-Jelte,0
VANSUMMEREN Johan,0
CIMOLAI Davide,0
DURASEK Kristijan,0
OLIVEIRA Nelson Filipe Santos Simoes,0
SERPA PEREZ Jose Rodolfo,0
GALLOPIN Tony,0
ROELANDTS Jürgen,0
VAN DEN BROECK Jurgen,0
ERVITI OLLO Imanol,0
GADRET John,0
INTXAUSTI ELORRIAGA Beñat,0
IZAGIRRE INSAUSTI Ion,0
PLAZA MOLINA Ruben,0
VISCONTI Giovanni,0
BAKELANTS Jan,0
GOLAS Michal,0
KWIATKOWSKI Michal,0
MARTIN Tony,0
RENSHAW Mark,0
TERPSTRA Niki,0
TRENTIN Matteo,0
ALBASINI Michael,0
CLARKE Simon,0
KEUKELEIRE Jens,0
MEIER Christian,0
COQUARD Bryan,0
GAUTIER Cyril,0
GENE Yohann,0
PICHOT Alexandre,0
REZA Kévin,0
VOECKLER Thomas,0
DE KORT Koen,0
DEGENKOLB John,0
DUMOULIN Tom,0
ISAYCHEV Vladimir,0
KRISTOFF Alexander,0
SMUKULIS Gatis,0
TROFIMOV Yury,0
KIRYIENKA Vasil,0
LOPEZ GARCIA David,0
NIEVE ITURRALDE Mikel,0
PATE Danny,0
PORTE Richie,0
THOMAS Geraint,0
BENNATI Daniele,0
MØRKØV CHRISTENSEN Michael,0
PAULINHO Sergio Miguel Moreira,0
TOSATTO Matteo,0
BUSCHE Matthew,0
IRIZAR ARANBURU Markel,0
RAST Gregory,0
VOIGT Jens,0
ZUBELDIA AGIRRE Haimar,1
BAKELANTS Jan,0
BARDET Romain,1
CHEREL Mikael,0
GAUDIN Damien,0
PERAUD Jean-Christophe,0
RIBLON Christophe,0
VUILLERMOZ Alexis,0
FUGLSANG Jakob,0
GRIVKO Andriy,0
GRUZDEV Dmitriy,0
NIBALI Vincenzo,1
SCARPONI Michele,0
WESTRA Lieuwe,0
DENNIS Rohan,0
OSS Daniel,0
QUINZIATO Manuel,0
SANCHEZ GONZALEZ Samuel,0
SCHÄR Michael,0
WYSS Danilo,0
CAVENDISH Mark,0
GOLAS Michal,0
STYBAR Zdenek,0
TRENTIN Matteo,0
VERMOTE Julien,0
CHAVANEL Sébastien,0
DEMARE Arnaud,0
LADAGNOUS Matthieu,0
PINOT Thibaut,0
ROY Jérémy,0
VAUGRENARD Benoît,0
BRÄNDLE Matthias,0
CLEMENT Stef,0
ELMIGER Martin,0
FRANK Mathias,1
